% File containing map information


% Formatting:
% wall x1 y1 x2 y2
%   Order does not matter between the points


wall -19.621 19.480 -19.621 -19.960
wall -19.621 -19.960 19.828 -19.960
wall 19.828 -19.960 19.828 19.480
wall 19.828 19.480 -19.621 19.480
wall -14.793 14.760 -9.828 -0.200
wall -9.828 -0.200 -14.931 -15.000
wall 0.034 14.760 -5.069 -0.040
wall -5.069 -0.040 -0.103 -15.000
wall 3.690 -15.080 7.552 -0.040
wall 7.552 -0.040 4.172 14.680
wall 16.103 14.920 11.414 0.040
wall 11.414 0.040 14.586 -15.000
