% File containing map information


% Formatting:
% wall x1 y1 x2 y2
%   Order does not matter between the points


wall -19.690 19.560 -19.690 -19.800
wall -19.690 -19.800 19.828 -19.800
wall 19.828 -19.800 19.828 19.560
wall 19.828 19.560 -19.690 19.560
wall -5.138 14.920 -9.897 9.960
wall -9.897 9.960 -5.276 4.760
wall -5.276 4.760 -9.690 -0.280
wall -9.690 -0.280 -5.207 -4.680
wall -5.207 -4.680 -9.207 -10.040
wall 5.069 14.600 -0.103 10.120
wall -0.103 10.120 4.793 4.760
wall 4.793 4.760 0.172 -0.200
wall 0.172 -0.200 4.793 -5.400
wall 4.793 -5.400 0.172 -9.880
wall -9.276 -10.120 -9.345 -14.920
wall -9.345 -14.920 -5.138 -19.880
wall 14.931 14.760 9.966 9.960
wall 9.966 9.960 15.000 5.000
wall 15.000 5.000 10.172 -0.280
wall 10.172 -0.280 14.793 -5.480
wall 14.793 -5.480 9.966 -9.960
wall 9.966 -9.960 15.069 -19.800
