% File containing map information


% Formatting:
% wall x1 y1 x2 y2
%   Order does not matter between the points


wall -14.931 14.920 -19.621 9.960
wall -19.621 9.960 -15.345 4.920
wall -15.345 4.920 -19.621 -0.200
wall -19.621 -0.200 -15.069 -4.920
wall -15.069 -4.920 -19.483 -10.040
wall -19.483 -10.040 -10.103 -19.160
wall -10.103 -19.160 9.966 -19.080
wall 9.966 -19.080 19.966 -10.040
wall 19.966 -10.040 15.207 -5.000
wall 15.207 -5.000 19.690 0.120
wall 19.690 0.120 15.276 5.240
wall 15.276 5.240 19.690 10.120
wall 19.690 10.120 9.966 18.120
wall 9.966 18.120 -9.897 18.360
wall -9.897 18.360 -14.931 14.840
wall -9.828 18.040 -6.724 5.000
wall -6.724 5.000 -10.862 0.120
wall -10.862 0.120 -7.483 -5.240
wall -7.483 -5.240 -11.276 -9.960
wall -11.276 -9.960 -2.724 -10.280
wall -2.724 -10.280 -6.517 -5.080
wall -6.517 -5.080 -2.586 0.440
wall -2.586 0.440 -5.966 4.840
wall -5.966 4.840 -2.172 18.200
wall -2.103 -19.080 4.241 -10.120
wall 4.241 -10.120 1.000 -5.160
wall 1.000 -5.160 3.828 0.680
wall 3.828 0.680 -0.103 4.680
wall -0.103 4.680 3.483 11.560
wall 3.483 11.560 11.966 10.920
wall 11.966 10.920 8.724 5.240
wall 8.724 5.240 12.655 0.040
wall 12.655 0.040 10.034 -4.920
wall 10.034 -4.920 11.897 -10.120
